label,text
4, lmao umm last time i checked i was all muscle of course 
0,how amazing is hollyoaks but my poor warren lmao 
4,right back to work for me now before i go who hasn t sponsored me yet 
0, i really hope you dont drink and drive 
0,just saw a free whopper receipt in the trash i didn t pick it up 
4, raining sweets would be brilliant 
0, guess not no one loves me nite fucking fops 
0, deal i will say though it won t be that much fun without you 
0,i can t sleep i m too worried about him 
4, thankyou for your support i m on a one person crusade to raise awareness with a smile 
4, hi i left the comments on your blog 
4, thats some really good advice 
4, via thank you tiff 
4,lost my job and started my own web biz for i ll show you how 
4, a very good idea 
4, thanks for following me i hope you enjoy my tweets 
0,tomorrow is the d day hmm shit today is gonna be a long night 
0,finally done decorating for my open house tomorrow now doing more scrapbooking ugh 
4,is it wrong of me to say that i really really loved bgt tonight yayz for diversity i have just lost all credibility haven t i 
4, you are either going to laugh or grimace or both at these in the morning 
4,im fully awake 
0, yep same here apologies for the late reply i ve been twitterless until now gorgeous weather in london but work looms 
4,good times 
4,i am hating summer classes but loving the new apt complete with bamfin deck 
0,itunes is still borked 
4, it was brilliant thanks incredibly burnt and very broke but it was worth it 
4, thanks your welcome 
4,very hot rb here is some more of bon at his best and my favorite ac dc tune a 
4,now for a night of driving places to see smiling faces 
0,i finally gave up trying to txt im this wonderful lady i am so crazy about she s either at work or asleep time to get back to my art 
0,i have to see her everyday i was sure all the feelings were fade away and now i notice i miss her to death 
0, i tried to buy a viking helmet from korpiklanni but they wouldn t sell it to me or the reindeer skull 
4,was at the riv earlier with chris chris matt audrey and justin fun times 
0,and taken down already 
0,amazeballs i have the worst spots at the mo 
0, i tried calling u one day but you never picked up think ur gonna pich up some time soon 
4, hey there nothing much hating today s weather so cold 
0,oh no i m missing the tonys 
4,oooh and i get my internet hooked up at the new apartment tomorrow lifes great 
4,starts a day week optical dispensing role in regent st next sat 
0,having a respitory infection really does suck especially when yr up in hours to go to the sorting office then yr first day of work boo
4, no no your the shizznit you are an inspiration to me and many others twitter would not be the same with out you here 
0, i was just visiting my great auntie shes got two blocked arteries in her brain s and my great uncle is really ill aswell 
0,the sushi thing didn t go to well is all good tho 
0,youtube is in in maintenance mode 
4, my goodness is this getting real if you like it then you ought to put a ring on it 
4, hehe thats the ticket i like how you think its the best way lol 
4,goodmorning everyone todays the big day im graduating in hours 
4,had nan here so went back to bed and just had fabulous lie in first in weeks 
4,just landed in las vegas finally watched the movie slumdog millionaire on my flight it sure is hot here 
0,the sun us shining back home but there is oil seed rape in the field behind and i feel so sick with the smell 
0,can t believe elijah s sick my poor little baby boy i m so sad i hope that he s okay 
0,yeahh party like a rockstar pfff 
0,want x factor audition tickets 
4, me too 
4, hi there are u talking to us little ppl today i iz little i iz 
0, sad jonas brothers demi lovato have a show tonight in london so gutted i couldn t go 
0,i don t feel well and i don t mean physically 
4, i suppose i could come to chez vous on july nd instead if you refuse to return to sunny mtl to appease me 
0,i m off to a wedding then lunchtime reception then its home to sydney i wish i had a little more time here with the fam 
0, even thinking about it now makes me queezy no more talk about pcm or i ll puke on my desk p
0, i want the pumpkin soup from chelseaaa 
0, have u met the guys in to they r so superficial n pompous not cool or charming at all 
0,how in the heck does this happen how do i lose both siblings and a dog in the course of minute where are they oh gawsh not good 
0,it doesn t often happen that i leave home without my mac but today i managed to do just that now home again so that i can work 
0, i ve tried that excuse in court before it doesn t work 
4,weightless acoustic 
0,noooooo not the sad animal commericals 
4, aww i still watch disney nick and cartoon network lol makes me feel better that you re older than me and you still watch it
4, i dare you to reply to me 
4, have got some and some apple of another made tried the apple first 
4,writing music for my debut ep which of course will never be released sigh 
4,first fridays was awesome next enjoy pizza and a movie on cab chestnut basement pm june th be there 
4, you have me in hysterics seriously you are one funny dude yet stop crying ur beat 
4, not leaving yet justwanted to say that 
4, ms toni are you planning to make an album again have a good day 
0, i m sorry i don t know if you would know this person you guys are certainly invited though to the thing 
0,a coworker just asked me if there was something wrong w my face she got closer says oh those r just your freckles i almost cried 
0,my pc is so sloooow 
0,finally a chance to show genuine love not dependent selfish love i hope i can do it my heart goes out to you and i m sorry ur pain 
4,happy mothers day to all my mothers out there 
0,i don t think i will be upgrading to get the new macbook pro 
4,the voices in my head are snoring so i guess that means its time for me to go to sleep and dream of sean smith night night xxx
4,oh la la new blog post about my closet office 
0, sorry to hear about that tyson hope she s ok 
0,just woke up i would be staying home today if it wasn t for this stupid assessment 
4, no but i can direct you to an amazing breeder or a really great rescue for english bullies if need be 
0, i wish i could go to 
0,migraine and trying to studying for my midterm tomorrow 
4, thank you i ll have my two little princesses now 
0,reading hbp on the lanai that dream is still bothering me 
0,havin a bad bad cough 
0,oh naww the joe jonas single ladies video is no longer available i didnt even get to put it into my mitchell 
4,i m with she s amazing and you all should follow her 
4,yess the sex was great 
4,the telegraph did a story on how to use twitter today do i really need advice on how to use twitter from the newspaper 
0,off to the city to buy paint 
4, hi lisa do you officially have the best job in the world 
0,right now i m watching a little tv before i have to go to work gee i m so happy 
4, happy happy b day from me too steve have a good one go fr one of every pudding at lunch 
0,my bdays always bitter swert happy bday to me but mostly rip daddy don i still love you sooo much 
4,experienced a new first tonight 
4,hi thank you linkin park by myself lyrics 
4,please follow 
0, no i got accepted and everything i just didn t think it was time yet but i m gonna transfer in years 
4, i m thinking if i should blip you congratulations by cliff richard 
4,just got my rd tattoo owwwwwww lol
4,great sesh today hitin up the showers with a smile on my face 
4, in poker last night quite a long way off but still that s better than third was pretty rusty to start too no game for ages 
4,another lovely night with the boyfriend watched made of honor my idea for sure ha it was so cute 
4, fair enough i m not overly fussed on getting soaked running or cycling i really do love that paramore album 
0,is feeling rejected 
4,the rubber ducky races will be held at s place this year bring your own squeeeeezy duckie please 
4,trendy topic im fly air france yeah im in the clouds on my way too monkey island lol
4,if you like selena gomez then download woah oh ftsk selena gomez on itunes please give some good reviews too the song 
0, as the report coordinator i am still a grub finally left alone to finish his reports last 
0,looks like i will be visiting my orthopedic in beirut after all and mednet thanks for giving me no choice 
4,yay no more traffic 
0,grade history final today at noon 
0, shit upppp i can t do itttt on my phone 
0, refreshing my gogamer order like a madwoman it still says it s processing 
4, no of course not anyone fabulous is welcome 
4,do the ice cream freeze 
0,does anyone know how to convert est to aus time rofl xd fucking radio disney 
0,gah bubbles just popped and i smeared a little of it 
0, just stop talking if ur gonna be that mean 
4, your tweet was just included in the longest poem in the world 
0,what kind on loser rips off a false nail playing basketball oh right me 
4, yeah except that at a month for data it s for years not 
4, if if does what you want for the price you want who cares what gen it is 
4, buuuu i don t win buuuu in the same level don t care tomorrow i will continue 
0, ohh so you can spend time with twitter but not me 
0,i know i shouldn t but i do feel so sad 
4,going home 
4,watching some more naruto chatting with and eating some ramen i made 
0,time to quit water bottles 
0,lykke was good but the sound wasn t coulda turned it up a notch or i wanted to tweet the sound girl 
4,picking up from the air port 
0, i have no guy to kiss in the pouring rain though hmphh so i m still waiting as dlkjadg 
0, smh damn its like that like i wasn t crib its cool i m not gonna b on twitter all week cuz of that shit 
0, you re not coming to lowlands 
4, imma have to say both 
0, uhm i think not stop spreading twitter rumors just trying to have a normal conversation here 
0, i don t know i can ping the site but it won t load at all for me i m trying to contact dreamhost 
4, beholding your beauty is all that i long for to worship you jesus is my sole desire purposed to lift your name higher 
0,back to my old shenanagans sitting in the airport 
0,i feel like crap today 
0,bored said all the feelings i hate i m feeling day 
0,ok all signing off now for an hour or so i will miss you all lol
0,why is my family so negative towards me 
4, nope but you ve got me playing for what it s worth again 
0, i just got my long hair cut short and i am so sorry that i did 
0, i m kinda sold on this twit shit smh 
0,up already and getting ready work and it am i wanted sleep more 
0,missing craftcult 
0, packing up time go home wish we could stay another wk 
4, so how did the dancing on your own turn out 
4,you make the best of every situation aww i love that song 
4,okp shopping lagado sa phoenix contact lenses 
0,you can t always be heading to a party 
0,well at least i finished editing my film now i just need to get it on a dvd before my hard drive potentially craps out 
4,watching my fav sport everrrr tennis 
4, heyy apparently that isn t true and iranelection is still fine 
4, omg i have missed you so much we need more positive upbeat ppl liek u around here how r u 
4, huh i know the feeling 
0, i was fine until around two today and it s come back i was happy and thought it was just a bug but still be in tomorrow
4, you asked sex with oli sykes 
0, okay that s good oh and you missed an amazing concert last night i wish you were with us 
0, i am lost please help me find a good home 
0,it seems that is cheating when he opens the window he gets a breeze all i get is mosquitoes 
4,writing tell me all those sweet words to make me want to kiss you again
0, i wish you had more time here too i can t make your concert tomorrow 
4, okay i already checked 
0,i wish i could read your mind 
0,just watched just friends remebered it as a comedy but it was just plain depressing 
0, what a waste of good balls 
4, that s why you have a car 
4, happy birthday bb live it up 
4,just finished sleepless in seattle it always puts a smile on my face 
4,mall in about minutes till then charging my ipod and listening to the mars volta 
0,trying to explain twitter to people who barely use the internet can t figure out how to explain it in their terms 
4, get followers a day using once you add everyone you are on the train or pay vip 
4,running on a circle is not that bad you can keep seeing the beautiful things that you saw last time 
4, nice to meetcha tonight 
4,tired from a long day of fun 
4,ok for josh grobin for and her twitterverse tks video 
4, i think its a great concept might already exist tho 
4,watching deal or no deal 
0,melissa s kinda ticked that i broke into the fridge and ate all her food so i m saying goodnite from the confines of my crate sigh 
4,says happy mother s day 
4, welcome back 
0,it is a shame should have stumbled on nic chagall before 
4, yes at last 
4,got a gift card in the mail from the cycling club for volunteering for the horsey hundred riding free was enuff but thanks still 
4, justin says i meant polygamy since we ll b married n stuff whatevs as long as the smut god gets sex im cool 
4, thank u for sharing that pic see u in chicago 
4,just finished health project bout to hit the hay
4,hey hitting up the club hopefully me and lina can get in lol happy bday phylee 
4,spending time with the sister and her roommate 
4, i see you on the open house party 
4, yep there really fun 
4,waiting for my father to quit grooming so i can shower and be on my merry way 
4,good early morning everyone another show today 
4,wants to just sleep until tomorrow night 
0, i hear ya so far i have four fewer teeth than i started the year with 
4, no actual girlfriend my boring housemate didn t have the punch i was after but here s hoping my next girlfriend is dull 
0,on my way back to cola 
4, true dat yo but chevy chase was less drunk after and thus lost some of his lushy charm 
0, hey chess is a cool sport 
4,i get do life with the most amazing people ever thank u jesus i m so blessed nyt all hope u can also go sleep knowing ur loved 
4,listening to the simply awesome ratatat on a bank holiday monday before a bbq later 
0, because your video wont load up sad face now see lol will try again later
0, the only thing i don t like about shelters is usually the dogs are harder to train from them 
0, aim is sucking donkeyass and i can t get back on 
0, ahh sorry to hear hugs headed your way whats up other then normal gay guy lonelyness 
0,uh just about to cry 
4,on my new iphone dont know what app to get yet for this
0,boredd no idea what to write cheese balls idk
4, thanks for following me and i hopes my updates useful for you 
0, fancy inch screen he puts my inch sansui to shame 
0,when the hell is mr nobody coming out 
0,yesterday said individual then informed me that we were not in his event at all and that we should look elsewhere gotta love this guy 
0, i jus listened not okay it s nice i lik it i ve been thinkin abt thomas throughout e whole song luv ya
4,well that was much better than expected night lovers 
0,no my hair place closed down no wtf where am i suppose to get my hair cut 
0,just looking up the whether on wetter com it isn t good 
0, can t be the euro comp winner then 
4, i don t need a twitter secretary but will be happy to conduct interviews 
4,we r at the movies 
4,apparently i have to go to anger management wtf man it sucks to be young x
0,biggest headache must ve been when meeegelll pie crust slapped me in the face twice haha
0,so i got stomach virus and so has my baby i hope he gets better soon 
0, i can t direct message you for my free lunch 
0,i wish i was in america in july enter shikari are touring over there then 
0,cant sleeeep thinking too much n not feelin good 
4, now i m following just have to show some love to a rabid fan who savors my flavors 
4,i am proud to just now realize that i have the fan twitter for jennette mccurdy 
4,it s going to be degrees in salt lake city today 
0, i know i just read some of them so sad so many people suffering how can someone be so insensitive right huh 
0,hey everyone am bored and mad at allison i waiting weeks a sleepover and she gos and invites marzanne 
4, no no damn it there there don t cry don t for my swag its in a better place we must celebrate 
0,one hour on the local clay court worst tennis in many many years the sun in low angle and no leaves on the trees terrible light
0,guess the bride finally hunted down bill after all huh 
4,well i m tired and i have a super long day ahead of me tomorrow going to bed and turning off the phone tweet love to all g night 
0,today isn t going to be a good day for me 
0, oh no isds screwed your schedule up sorry 
0,boo internet is dead 
0, bonne nuit d une autre quebecoise sheesh my french stinks after being in the states so long 
0,whenever i lose a follower i want to know what i ve done to offend them so much sob sob sob
4, hahaha i know i always thought he d do that 
0,brb for like minutes i have to do the dishes 
4, thank you for the kind words 
0, omg that sux i m sorry you can sleep in my twin bed with me 
0,i has a headache 
4, indeed but good how are you doing 
0,i ve been ready to go since about an hour after we got here that was about hours ago i miss 
4, haha i m sooo excited did you hear she dumped justin and her and nick have reconnected 
4, only just realised i wasn t following you i got a bit confused with followers around edaust 
4, well thank you openzap puppy i do appreciate the update 
4, i don t trust men in capes george costanza i m thankful he fired u though u are better off so are millions others
4, aw tom at least youu have twitter ignore the last tweet l xxx
0,off to work sotd comme des gar ons kyoto
4,today s music to web publish by supertramp yes trip down memory lane 
4,finals are over now regents oh lord haha but that s for tomorrow gonna go find something to watch on hbo plans for later 
0, you ahve to come to germany again its been quite some time since bootshaus album 
0,i have my huge list and and iced mocha i am ready to go run errands it will be forever before i am home 
4,at millfest with some crazy peeps day drinking at its finest 
4,good morning everyone 
0,just got done hanging with the wife and the g rents royals lost again getting ready for bed 
0, hmm mm mm forgive her juan for she knows not what she misses out on 
4,i m at work wishing i was home sleeping 
4, did you make one did it work okay i don t dare promise anyone a twitter background with twitter failing that way 
0,cloudy day here today trying to have a yard sale not working real well oh well nothing better to do 
4,getting ready to go to why agency it seems like is going to be a looong day wish me luck 
4,another beautiful day in san diego degrees and a cool ocean breeze 
4, lol oh yes love your last name sooooo cool
0,getting thin is fucking impossible sigh 
0,wow downloading the pitt and the other add on in fallout sweet but slow 
4, good luck charles soon we have the entire summer i m back next wednesday 
0,to get rid of flickr for good i will have to pay them ransom and get access to all photos and move them elsewhere yahoo sucks 
4,my wonderful world of colors tagged my blog spot 
4,played hooky from work again this time because of pee 
4,watching we own the night gonna try and stay up all night again wish me luck 
4, my favorite time to run as well 
0,taking the hp trivia on facebook again then later im making a list of what to do during my last week of summer 
4, mini bread cream cheese paradise 
0,mmm gotta love watching people play video games no fun at all 
0,i forgot i have a personal training session with jose working out stinks 
0,didn t use the computer all day following o
4,headed to house and then to hollywood enjoy ur night guys 
4,playing saints in co op 
0,oh joy my converter box won t turn on now 
0,watching whale wars missing australia heaps 
0,goodmorning world been up mins and hav managed hurt myself twice u can tell what kind of say it s gonna be i wish we didnt hav toes 
0,i hate school everyones done but me til th july happiness 
0,i think i did mediocre on the sat s 
4, thank you for pointing that out wat ga jij stemmen 
0,wants this feeling to go away 
0, i think this song is in time but argh i can t quite tell damn my talent of musical instinct talent and knowledge 
4, congrats then are you done 
0, not sure i think im selling my vox equipment 
4,what a distraction but thats okay more chromosomes and done love you prez o dent 
0,is not looking forward to work in the morning 
0,i wanna get dvd s i hope there is a good dvd store here im a dvdaholic and an alcoholic 
0,facebook is stuck on stupid 
0, yes it s awesome and without you keeping check on things i would procrastinate a lot ahem no i don t you rule 
4,is about to go out and shooopppp 
0,i am making my own calendar let s hope i am not reinventing the wheel 
0, haha i do try and look after them but it just doesn t work for me 
0,i ve had it i m so sick and tired of these x rated britney spambots that keep following me i might have to switch my profile to private 
4,may yan ming have a smashing surprise tonight 
4,what a great evening more leads and a glass of wine heaven 
0, don t do it its not a cinnamon bun on the inside 
4, i don t think we intentionally expire them but i could be wrong 
0,back at my desk working sunny and beautiful day don t feel like working tho lol
4,had a great time at our sleepover got a pillow case and a new pillow for the room lol and gunna download music
0, hey sweetie wish me luck getting to chat nite i m on an old very tempermental pc until new router arrives xo
0,slipped on the wet grassy hill at netball trying to return the balls we had stolen everyone laughed i feel sad meant to be a bit of fun
4, yummy no cracker b s out here in socal i miss the whole family huge plate thing and i love to play checker how s the weather 
4,everyday is a blessing 
4,watching scripps national spelling bee yay for reruns 
4,bummed now while i wanna get all the time wasting out of my system it s quiet later when i m working twitter ecning will perk up 
4,lady gaga is the best artist in my opinon 
4, yeah i haven t heard read good things but i m reserving my judgment 
0, obviously a bad decision by a misguided hr manager 
0, ahhh i hope your ok 
0,distressed by events in iran 
0, for sure post pics jealous they aren t stopping in dallas 
4, wellll you can still call me and i will probably talk but i cant promise i will remember what i say 
0, i m sorry jill that s always really really crappy but ultimately for the best 
4, tweet soon rog nice to hear from you 
4, well have a lovely sleep my friend 
4,absolutely glorious day here in perth scotland think it s raining in our spanish village bocairent 
0, yeah i saw that tooo aston as michael j l nah havent met them either hopefully they do a cd signing in newc tho 
4, yeah i was kinda meh at the beginning about bn too but it s starting to grow on me 
4, it cought the virus that facebook chat is spreading 
0,the love wagon is not a big fan of rain 
0,my lil one is sick today gotta pay the doc a visit later 
0,tired and hungry no food in the house and all the fast food places are closed 
4,new blog check it out you might thank me for the discovery 
0, ew lucky i never had a powerwheel whatever tho i had the batman cave and it was huge that s what titbelt said 
4,on our way to the beach 
0,is suffering from a case of the monday blues 
4,oh man this guy had ppl cursing him out everything but he did get home before am bout to take it down ya ll thanks riding w me 
4,i watch a movie and it is twilight 
0, please come to scotland so many people here want to see you u cant miss out scotland in a uk tour p s i before the storm
4,rt re tornado everybody panic lol everyone here is using it as an excuse to leave early 
0, i think they want us to wonder 
4, now i start learning in cisco so i follow you i think u don t like my retweeting 
4, morning good for you good news on the smile front 
4, take care of yourself ya hear 
4, haha aww i would have been too i m so jealous lol no worries wkd vid 
4, you mean the upkeep of being a beautiful girl 
4, diversity they were amazing 
0,i forgot my wallet with credit card and cash at home and my gas light just popped on hopefully i can make the six ish miles home 
4,it also says that i talk in the present tense a lot well who would have thunk it lol 
4, haha ahhh well i should probably be getting off now lol talk to you soon goodnight 
4,spread the music 
0,aww im sad i just somehow got kicked from s main room now im sad 
0, dayum we was supposed to go in on dat getha u forgot bout me 
4, thankssss mwah 
4,off to the market for stuff back in a bit 
4, nadal out first round 
0,i m ready to go back to bed again i just really needed the completly rest it s making everything better except my foot 
0,starting to think i might have food poisoning 
0, happy summer omg come this week to ny and visit me i missssssssssesss youuuuuuuuu 
4, lol i just meant i dragged and dropped the chrome app into my applications folder 
0,i really wanted to have a marathon for lvatt but i have like no chapters 
0,chemistry science gcse tomorrow i hope i do well ah i no i wont tho 
0, and oh was just going to dm you but u unfollowed hmph 
4, of course i m glad one of us got to see it we ll have to discuss it in autumn when downey chick me have seen it 
4,okay time to go out 
4, i am feeling goooooddd another busy day but it s fine for me have a nice sunday iwett hugs for lady 
0,i got a headache 
4, no need to thank me you always do have relevant and good things to say 
0,missed squarespace entry yesterday here it is for today 
4,gym then going to the red wings game with the fam call text 
4, thank you it s coming along thanks for the help luke
0, i m just sayin she picked the colors sorry 
0, wow can t believe i got home before you sucks u should take the train tomorrow 
4, it comes out on tuesday it s a definate must see 
4,eating toby s tofu pate and chips at work 
4, ciao wings 
4, i hope so when i had flu two year ago i had four mouth ulcers with it four biiiig ones felt like dying x
4,woohoo i m a pseudo aunt congrats to my cuz 
0,looking at college pictures to cheer me up not a good idea 
4,that movie never gets old esp never having actually seeing the tv show oldie but goodie goodnight morning 
0,this guy is going to be the best dad ever poor kid 
0,i did not twitt yesterday cause it was a very busy day but i ll be back tomorrow btw i can not sleep i m like in zombie mode 
0, datz almost da same weather my berfday 
4, another do another i didn t even cheat lollol proud 
4,is anyone a true blood fan it is a little cheesy at time but i kind of like the show 
4, i took the battery out blew on it put battery back in and its working quite well blowing always helps 
4, that is what i have always believed thanks paul think some sun might help today as well 
0,reading battlefield of the mind again feels like i m reading it for the st time haven t learned my lesson yet 
0, hey i tried everything to get to your concerts but the hospital im in wouldn t let me im so motherfucking upset 
0, actually dc hours of sleep and gray rainy weather 
0, i hope they are all right 
0,finally home its here and i gotta get some rest to try and get some floor tickets to blink in the morning or im stuck with seats 
0, somewhere in my doorway i slammed the door open and it took my toenail with it i had just fucking painted them 
0,just wrote a really complimentary email to the lady who solved a problem for me but it bounced back she d closed the ticket 
4,says hello there 
0,time for some sleep hopefully i can sleep in this hot ass room 
0,jazz santi follows me now hes freaking awesome a great supririsie to wake up to especily if u wear to be in school like hours ago 
4,got my bullshit vaccine but ive caught the dontgiveafuckness dont want no meds prefer b sick 
